Course_ID,Learners_Enrolled,Exam_Registration
noc26_cs102,8174,255
noc26_cs103,2131,61
noc26_cs104,13444,1141
noc26_cs105,6474,452
noc26_cs106,9927,226
noc26_cs107,72049,4840
noc26_cs108,2575,311
noc26_cs109,39162,2685
noc26_cs110,8135,301
noc26_cs111,4736,110
noc26_cs112,25438,1871
noc26_cs113,20051,1179
noc26_cs114,7535,324
noc26_cs115,6061,366
noc26_cs116,596,18
noc26_cs117,41941,1939
noc26_cs118,4917,251
noc26_cs119,28644,1722
noc26_cs120,7347,260
noc26_cs121,1801,202
noc26_cs122,1799,185
noc26_cs123,19828,1111
noc26_cs124,426,4
noc26_cs125,1745,39
noc26_cs126,427,11
noc26_cs127,819,20
noc26_cs128,3727,163
noc26_cs129,29926,1622
noc26_cs130,1108,52
noc26_cs131,16762,1010
noc26_cs132,13531,744
noc26_cs133,36808,1826
noc26_cs134,7551,447
noc26_cs135,10490,643
noc26_cs136,55509,4436
noc26_cs137,4954,280
noc26_cs138,23080,1233
noc26_cs139,8469,423
noc26_cs140,3904,207
noc26_cs141,40500,3303
noc26_cs142,754,18
noc26_cs143,2163,52
noc26_cs144,47333,3243
noc26_cs145,20536,2132
noc26_cs146,20625,764
noc26_cs147,468,2
noc26_cs148,169,0
noc26_cs149,340,5
noc26_cs150,90670,6959
noc26_cs151,20484,1090
noc26_cs152,12805,1608
noc26_cs153,82539,8569
noc26_cs154,1082,88
noc26_cs155,11882,580
noc26_cs156,16465,1546
noc26_cs157,45311,2390
noc26_cs158,9883,352
noc26_cs159,15821,708
noc26_cs160,46543,3893
noc26_cs161,117467,17267
noc26_cs162,31931,808
noc26_cs163,2717,68
noc26_cs164,1727,30
noc26_cs165,657,14
noc26_cs166,16216,2109
noc26_cs167,1669,29
noc26_cs168,4267,163
noc26_cs169,4706,162
noc26_cs170,7609,370
noc26_cs171,24084,1747
noc26_cs172,201,5
noc26_cs173,2839,135
noc26_cs174,7293,329
noc26_cs175,3553,130
noc26_cs176,3182,254
noc26_cs177,17931,717
noc26_cs178,3616,121
noc26_cs179,4241,270
noc26_cs180,16762,1280
noc26_cs181,7768,373
noc26_cs182,19622,1467
noc26_cs183,5869,209
noc26_cs184,1487,34
noc26_cs185,5229,304
noc26_cs186,5031,105
noc26_cs187,1003,10
noc26_cs188,18602,712
noc26_cs189,17707,1742
noc26_cs90,1116,38
noc26_cs91,1932,24
noc26_cs92,661,19
noc26_cs93,1659,162
noc26_cs94,313,6
noc26_cs95,19589,1106
noc26_cs96,2232,75
noc26_cs97,3598,118
noc26_cs98,8509,177
noc26_cs99,29860,2324
noc26_cy41,350,7
noc26_cy42,877,103
noc26_cy43,906,32
noc26_cy44,343,6
noc26_cy45,1887,103
noc26_cy46,382,7
noc26_cy47,1536,55
noc26_cy48,1537,61
noc26_cy49,285,12
noc26_cy50,147,3
noc26_cy51,104,0
noc26_cy52,1670,52
noc26_cy53,446,35
noc26_cy54,482,4
noc26_cy55,523,32
noc26_cy56,118,6
noc26_cy57,117,0
noc26_cy58,256,10
noc26_cy59,155,1
noc26_cy60,666,16
noc26_cy61,343,10
noc26_cy62,208,8
noc26_cy63,300,66
noc26_cy64,1617,106
noc26_cy65,284,28
noc26_cy66,647,16
noc26_cy67,240,15
noc26_cy68,820,45
noc26_cy69,1187,27
